"","title","wins","gg_bpw"
"382","Days of Heaven (1978)",0,0
"383","Days of Wine and Roses (1962)",0,0
"384","De-Lovely (2004)",0,0
"385","Dead Again (1991)",0,0
"386","Dead Man Walking (1995)",0,0
"387","Dead Poets Society (1989)",0,0
"388","Deadpool (2016)",0,0
"389","Dear Heart (1964)",0,0
"390","Death Becomes Her (1992)",0,0
"391","Death of a Salesman (1951)",2,0
"392","Defiance (2008)",0,0
"393","Deliverance (1972)",0,0
"394","Desperately Seeking Susan (1985)",0,0
"395","Destination Moon (1950)",0,0
"396","Destroyer (2018)",0,0
"397","Detective Story (1951)",0,0
"398","Diary of a Mad Housewife (1970)",0,0
"399","Dick Tracy (1990)",0,0
"400","Die Another Day (2002)",0,0
"401","Diner (1982)",0,0
"402","Dirty Dancing (1987)",1,0
"403","Dirty Rotten Scoundrels (1988)",0,0
"404","District 9 (2009)",0,0
"405","Divine Madness (1980)",0,0
"406","Divorce, Italian Style (1962)",1,0
"407","Django Unchained (2012)",2,0
"408","Do The Right Thing (1989)",0,0
"409","Doctor Dolittle (1967)",1,0
"410","Doctor Zhivago (1965)",5,1
"411","Dog Day Afternoon (1975)",0,0
"412","Dolemite Is My Name (2019)",0,0
"413","Dominick & Eugene (1988)",0,0
"414","Don Juan DeMarco (1995)",0,0
"415","Don't Go Near The Water (1957)",0,0
"416","Doubt (2008)",0,0
"417","Down and Out In Beverly Hills (1986)",0,0
"418","Downsizing (2017)",0,0
"419","Dr. Seuss' How The Grinch Stole Christmas! (2000)",0,0
"420","Dreamgirls (2006)",3,1
"421","Drive (2011)",0,0
"422","Driving Miss Daisy (1989)",3,1
"423","Duet for One (1986)",0,0
"424","Dumplin' (2018)",0,0
"425","Dunkirk (2017)",0,0
"426","Duplicity (2009)",0,0
"427","E. T. The Extra-Terrestrial (1982)",2,1
"428","Earthquake (1974)",0,0
"429","East of Eden (1955)",1,1
"430","Eastern Promises (2007)",0,0
"431","Easy A (2010)",0,0
"432","Easy Rider (1969)",0,0
"433","Ed Wood (1994)",1,0
"434","Educating Rita (1983)",2,0
"435","Edward Scissorhands (1990)",0,0
"436","Eighth Grade (2018)",0,0
"437","El Cid (1961)",0,0
"438","Election (1999)",0,0
"439","Electra Glide In Blue (1973)",0,0
"440","Elizabeth (1998)",1,0
"441","Elizabeth:  The Golden Age (2007)",0,0
"442","Elle (2016)",1,0
"443","Elmer Gantry (1960)",1,0
"444","Empire of the Sun (1987)",0,0
"445","Enchanted (2007)",0,0
"446","Enchanted April (1992)",2,0
"447","Endless Love (1980)",0,0
"448","Enough Said (2013)",0,0
"449","Equus (1977)",2,0
"450","Erin Brockovich (2000)",1,0
"451","Eternal Sunshine of The Spotless Mind (2004)",0,0
"452","Everybody's Fine (2009)",0,0
"453","Everyone Says I Love You (1996)",0,0
"454","Evita (1996)",3,1
"455","Ex Machina (2015)",0,0
"456","Exodus (1960)",1,0
"457","Experiment In Terror (1962)",0,0
"458","Extremities (1986)",0,0
"459","Eyes Wide Shut (1999)",0,0
"460","Face to Face (1976)",0,0
"461","Falling In Love Again (1980)",0,0
"462","Fame (1980)",1,0
"463","Family Plot (1976)",0,0
"464","Fanny & Alexander (1983)",0,0
"465","Fanny (1961)",0,0
"466","Far From Heaven (2002)",0,0
