"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"78","Black Swan (2010)",2010,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"79","Blossoms in the Dust (1941)",1941,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"80","Bohemian Rhapsody (2018)",2018,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"81","Bonnie and Clyde (1967)",1967,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"82","Born Yesterday (1950)",1950,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"83","Born on the Fourth of July (1989)",1989,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"84","Bound for Glory (1976)",1976,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"85","Boyhood (2014)",2014,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"86","Boys Town (1938)",1938,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Braveheart (1995)",1995,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1
"88","Breaking Away (1979)",1979,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"89","Bridge of Spies (2015)",2015,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
"90","Broadcast News (1987)",1987,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"91","Broadway Melody of 1936 (1935)",1935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Brokeback Mountain (2005)",2005,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
"93","Brooklyn (2015)",2015,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"94","Bugsy (1991)",1991,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
"95","Butch Cassidy and the Sundance Kid (1969)",1969,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"96","CODA (2021)",2021,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"97","Cabaret (1972)",1972,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
"98","Call Me by Your Name (2017)",2017,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"99","Capote (2005)",2005,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"100","Captain Blood (1935)",1935,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"101","Captain Phillips (2013)",2013,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"102","Captains Courageous (1937)",1937,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"103","Casablanca (1943)",1943,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
"104","Cat on a Hot Tin Roof (1958)",1958,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"105","Cavalcade (1932)",1932,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"106","Chariots of Fire (1981)",1981,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1
"107","Chicago (2002)",2002,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1
"108","Children of a Lesser God (1986)",1986,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"109","Chinatown (1974)",1974,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0
"110","Chocolat (2000)",2000,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"111","Cimarron (1930)",1930,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"112","Citizen Kane (1941)",1941,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
"113","Cleopatra (1934)",1934,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"114","Cleopatra (1963)",1963,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
"115","Coal Miner's Daughter (1980)",1980,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"116","Coming Home (1978)",1978,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"117","Crash (2005)",2005,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"118","Cries and Whispers (1973)",1973,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"119","Crossfire (1947)",1947,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"120","Crouching Tiger, Hidden Dragon (2000)",2000,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"121","Dallas Buyers Club (2013)",2013,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"122","Dances With Wolves (1990)",1990,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1
