"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"502","The Piano (1993)",1993,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"503","The Pied Piper (1942)",1942,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"504","The Post (2017)",2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505","The Postman (Il Postino) (1995)",1995,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"506","The Power of the Dog (2021)",2021,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0
"507","The Pride of the Yankees (1942)",1942,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"508","The Prince of Tides (1991)",1991,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"509","The Private Life of Henry VIII (1932)",1932,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510","The Queen (2006)",2006,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"511","The Quiet Man (1952)",1952,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"512","The Racket (1927)",1927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513","The Razor's Edge (1946)",1946,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"514","The Reader (2008)",2008,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"515","The Red Shoes (1948)",1948,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"516","The Remains of the Day (1993)",1993,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"517","The Revenant (2015)",2015,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0
"518","The Right Stuff (1983)",1983,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
"519","The Robe (1953)",1953,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"520","The Rose Tattoo (1955)",1955,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
"521","The Russians Are Coming The Russians Are Coming (1966)",1966,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"522","The Sand Pebbles (1966)",1966,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
"523","The Shape of Water (2017)",2017,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
"524","The Shawshank Redemption (1994)",1994,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"525","The Silence of the Lambs (1991)",1991,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"526","The Sixth Sense (1999)",1999,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"527","The Smiling Lieutenant (1931)",1931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528","The Snake Pit (1948)",1948,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"529","The Social Network (2010)",2010,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"530","The Song of Bernadette (1943)",1943,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
"531","The Sound of Music (1965)",1965,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1
"532","The Sting (1973)",1973,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
"533","The Story of Louis Pasteur (1936)",1936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","The Sundowners (1960)",1960,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"535","The Talk of the Town (1942)",1942,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"536","The Ten Commandments (1956)",1956,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
"537","The Theory of Everything (2014)",2014,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"538","The Thin Man (1934)",1934,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"539","The Thin Red Line (1998)",1998,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"540","The Towering Inferno (1974)",1974,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"541","The Treasure of the Sierra Madre (1948)",1948,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"542","The Tree of Life (2011)",2011,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"543","The Trial of the Chicago 7 (2020)",2020,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"544","The Turning Point (1977)",1977,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0
"545","The Verdict (1982)",1982,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"546","The White Parade (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"547","The Wizard of Oz (1939)",1939,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
"548","The Wolf of Wall Street (2013)",2013,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"549","The Yearling (1946)",1946,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"550","There Will Be Blood (2007)",2007,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"551","Three Billboards outside Ebbing, Missouri (2017)",2017,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"552","Three Coins in the Fountain (1954)",1954,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"553","Three Smart Girls (1936)",1936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"554","Titanic (1997)",1997,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"555","To Kill a Mockingbird (1962)",1962,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"556","Tom Jones (1963)",1963,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
"557","Tootsie (1982)",1982,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
"558","Top Gun: Maverick (2022)",2022,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
"559","Top Hat (1935)",1935,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"560","Toy Story 3 (2010)",2010,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"561","Trader Horn (1930)",1930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562","Traffic (2000)",2000,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"563","Triangle of Sadness (2022)",2022,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"564","True Grit (2010)",2010,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0
"565","Twelve O'Clock High (1949)",1949,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"566","Tár (2022)",2022,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"567","Unforgiven (1992)",1992,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1
"568","Up (2009)",2009,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"569","Up in the Air (2009)",2009,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"570","Vice (2018)",2018,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
"571","Viva Villa! (1934)",1934,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"572","Wake Island (1942)",1942,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"573","War Horse (2011)",2011,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
"574","Watch on the Rhine (1943)",1943,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"575","West Side Story (1961)",1961,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
"576","West Side Story (2021)",2021,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"577","Whiplash (2014)",2014,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"578","Who's Afraid of Virginia Woolf? (1966)",1966,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
"579","Wilson (1944)",1944,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0
"580","Wings (1927)",1927,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"581","Winter's Bone (2010)",2010,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"582","Witness (1985)",1985,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"583","Witness for the Prosecution (1957)",1957,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"584","Women Talking (2022)",2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"585","Working Girl (1988)",1988,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"586","Wuthering Heights (1939)",1939,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"587","Yankee Doodle Dandy (1942)",1942,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"588","You Can't Take It with You (1938)",1938,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
"589","Z (1969)",1969,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"590","Zero Dark Thirty (2012)",2012,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"591","Zorba the Greek (1964)",1964,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
