year_film,year_award,ceremony,category,win,title
1951,1952,9,Cinematography - Black And White,FALSE,A Place In The Sun
1952,1953,10,Best Motion Picture - Drama,TRUE,The Greatest Show On Earth
1952,1953,10,Best Motion Picture - Drama,FALSE,Come Back, Little Sheba
1952,1953,10,Best Motion Picture - Drama,FALSE,The Happy Time
1952,1953,10,Best Motion Picture - Drama,FALSE,High Noon
1952,1953,10,Best Motion Picture - Drama,FALSE,The Thief
1952,1953,10,Best Motion Picture - Musical or Comedy,TRUE,With a Song in My Heart
1952,1953,10,Best Motion Picture - Musical or Comedy,FALSE,Hans Christian Andersen
1952,1953,10,Best Motion Picture - Musical or Comedy,FALSE,I'll See You in My Dreams
1952,1953,10,Best Motion Picture - Musical or Comedy,FALSE,Singin' in the Rain
1952,1953,10,Best Motion Picture - Musical or Comedy,FALSE,Star and Stripes Forever
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,TRUE,Come Back, Little Sheba
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,FALSE,Sudden Fear
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,FALSE,My Cousin Rachel
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,TRUE,High Noon
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,FALSE,The Happy Time
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,FALSE,The Thief
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,Singin' in the Rain
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,Hans Christian Andersen
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,FALSE,Stars and Stripes Forever
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,High Noon
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,Viva Zapata!
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,FALSE,The Bad and The Beautiful
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,My Six Convicts
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,The Happy Time
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,FALSE,The Bad and The Beautiful
1952,1953,10,Best Director - Motion Picture,TRUE,The Greatest Show On Earth
1952,1953,10,Best Director - Motion Picture,FALSE,The Happy Time
1952,1953,10,Best Director - Motion Picture,FALSE,The Quiet Man
1952,1953,10,Best Screenplay - Motion Picture,TRUE,5 Fingers
1952,1953,10,Best Screenplay - Motion Picture,FALSE,The Thief
1952,1953,10,Best Screenplay - Motion Picture,FALSE,High Noon
1952,1953,10,Best Original Score - Motion Picture,TRUE,High Noon
1952,1953,10,Best Original Score - Motion Picture,FALSE,Ivanhoe
1952,1953,10,Best Original Score - Motion Picture,FALSE,The Quiet Man
1952,1953,10,Cecil B. deMille Award,FALSE,Walt Disney
1952,1953,10,Cecil B. deMille Award,FALSE,Stanley Kramer
1952,1953,10,Cecil B. deMille Award,FALSE,Adolph Zukor
1952,1953,10,Promoting International Understanding,TRUE,Anything Can Happen
1952,1953,10,Promoting International Understanding,FALSE,Assignment: Paris
1952,1953,10,Promoting International Understanding,FALSE,Ivanhoe
1952,1953,10,Special Achievement Award,FALSE,Navajo
1952,1953,10,New Star Of The Year - Actress,TRUE,Moulin Rouge
1952,1953,10,New Star Of The Year - Actress,FALSE,The Thief
1952,1953,10,New Star Of The Year - Actress,FALSE,High Noon
1952,1953,10,New Star Of The Year - Actor,TRUE,My Cousin Rachel
1952,1953,10,New Star Of The Year - Actor,FALSE,Pat and Mike
1952,1953,10,New Star Of The Year - Actor,FALSE,Stars and Stripes Forever
1952,1953,10,Juvenile Performance,TRUE,The Member of the Wedding
1952,1953,10,Juvenile Performance,FALSE,Navajo
1952,1953,10,Juvenile Performance,FALSE,My Pal Gus
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,TRUE,With a Song in My Heart
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,FALSE,Pat and Mike
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,FALSE,Monkey Business
1952,1953,10,Henrietta Award (World Film Favorites),TRUE,Susan Hayward
1952,1953,10,Henrietta Award (World Film Favorites),TRUE,John Wayne
1952,1953,10,Cinematography - Color,TRUE,The Greatest Show On Earth
1952,1953,10,Cinematography - Black And White,TRUE,High Noon
1952,1953,10,Cinematography - Black And White,FALSE,The Four Poster
1952,1953,10,Cinematography - Black And White,FALSE,The Thief
1953,1954,11,Best Motion Picture - Drama,TRUE,The Robe
1953,1954,11,Best Performance by an Actress in a Motion Picture - Drama,TRUE,Roman Holiday
1953,1954,11,Best Performance by an Actor in a Motion Picture - Drama,TRUE,The Actress
1953,1954,11,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,The Moon Is Blue
1953,1954,11,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,Mogambo
1953,1954,11,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,From Here to Eternity
1953,1954,11,Best Director - Motion Picture,TRUE,From Here to Eternity
1953,1954,11,Best Screenplay - Motion Picture,TRUE,Lili
1953,1954,11,Cecil B. deMille Award,FALSE,Darryl F. Zanuck
1953,1954,11,Promoting International Understanding,TRUE,Little Boy Lost
1953,1954,11,Special Achievement Award,FALSE,The Living Desert
1953,1954,11,New Star Of The Year - Actress,TRUE,Forever Female
1953,1954,11,New Star Of The Year - Actress,TRUE,Money From Home
1953,1954,11,New Star Of The Year - Actress,TRUE,The Egyptian
1953,1954,11,New Star Of The Year - Actress,TRUE,Hell and High Water
1953,1954,11,New Star Of The Year - Actress,TRUE,It Came From Outer Space
1953,1954,11,New Star Of The Year - Actress,FALSE,Hell and High Water
1953,1954,11,New Star Of The Year - Actress,FALSE,Money From Home
1953,1954,11,New Star Of The Year - Actor,TRUE,The Glory Brigade
1953,1954,11,New Star Of The Year - Actor,TRUE,The Kid From Left Field
1953,1954,11,New Star Of The Year - Actor,TRUE,So Big
1953,1954,11,New Star Of The Year - Actor,TRUE,The Man From The Alamo
1953,1954,11,New Star Of The Year - Actor,FALSE,The Kid From Left Field
1953,1954,11,Actress In A Leading Role - Musical Or Comedy,TRUE,Call Me Madam
1953,1954,11,Henrietta Award (World Film Favorites),TRUE,Alan Ladd
1953,1954,11,Henrietta Award (World Film Favorites),TRUE,Marilyn Monroe
1953,1954,11,Henrietta Award (World Film Favorites),TRUE,Robert Taylor
1953,1954,11,Documentary,TRUE,A Queen Is Crowned
1954,1955,12,Best Motion Picture - Drama,TRUE,On the Waterfront
1954,1955,12,Best Motion Picture - Musical or Comedy,TRUE,Carmen Jones
1954,1955,12,Best Performance by an Actress in a Motion Picture - Drama,TRUE,The Country Girl
1954,1955,12,Best Performance by an Actor in a Motion Picture - Drama,TRUE,On the Waterfront
1954,1955,12,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,A Star is Born 
1954,1955,12,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,The High and The Mighty
1954,1955,12,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,The Barefoot Contessa
1954,1955,12,Best Director - Motion Picture,TRUE,On the Waterfront
1954,1955,12,Best Screenplay - Motion Picture,TRUE,Sabrina
1954,1955,12,Best Motion Picture - Foreign Language,TRUE,United Kingdom, Henry Cornelius
1954,1955,12,Best Motion Picture - Foreign Language,TRUE,Argentina, Ernesto Arancibia
1954,1955,12,Best Motion Picture - Foreign Language,TRUE,West Germany, Victor Vicas
1954,1955,12,Best Motion Picture - Foreign Language,TRUE,Japan, Keisuke Kinoshita
1954,1955,12,Cecil B. deMille Award,FALSE,Jean Hersholt
1954,1955,12,Promoting International Understanding,TRUE,Broken Lance
1954,1955,12,New Star Of The Year - Actress,TRUE,The Trouble With Harry
1954,1955,12,New Star Of The Year - Actress,TRUE,Phffft!
1954,1955,12,New Star Of The Year - Actress,TRUE,The High and The Mighty
1954,1955,12,New Star Of The Year - Actor,TRUE,Carmen Jones
1954,1955,12,New Star Of The Year - Actor,TRUE,Four Guns to the Border
1954,1955,12,New Star Of The Year - Actor,TRUE,Seven Brides for Seven Brothers
1954,1955,12,Actress In A Leading Role - Musical Or Comedy,TRUE,A Star is Born 
1954,1955,12,Henrietta Award (World Film Favorites),TRUE,Audrey Hepburn
1954,1955,12,Henrietta Award (World Film Favorites),TRUE,Gregory Peck
1954,1955,12,Henrietta Award (World Film Favorites),FALSE,June Allyson
1954,1955,12,Henrietta Award (World Film Favorites),FALSE,Pier Angeli
1954,1955,12,Henrietta Award (World Film Favorites),FALSE,Marlon Brando
1954,1955,12,Henrietta Award (World Film Favorites),FALSE,Doris Day
1954,1955,12,Henrietta Award (World Film Favorites),FALSE,Alan Ladd
1954,1955,12,Cinematography - Color,TRUE,Brigadoon
1954,1955,12,Cinematography - Black And White,TRUE,On the Waterfront
1955,1956,13,Best Motion Picture - Drama,TRUE,East of Eden
1955,1956,13,Best Motion Picture - Musical or Comedy,TRUE,Guys and Dolls
1955,1956,13,Best Performance by an Actress in a Motion Picture - Drama,TRUE,The Rose Tattoo
1955,1956,13,Best Performance by an Actor in a Motion Picture - Drama,TRUE,Marty
1955,1956,13,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,The Seven Year Itch
1955,1956,13,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,The Rose Tattoo
1955,1956,13,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,Trial
1955,1956,13,Best Director - Motion Picture,TRUE,Picnic
1955,1956,13,Best Motion Picture - Foreign Language,TRUE,United Kingdom
1955,1956,13,Best Motion Picture - Foreign Language,TRUE,Japan, Yoshirô Kawazu
1955,1956,13,Best Motion Picture - Foreign Language,TRUE,West Germany, Laslo Benedek
1955,1956,13,Best Motion Picture - Foreign Language,TRUE,Greece, Michael Cacoyannis
1955,1956,13,Best Motion Picture - Foreign Language,TRUE,Denmark, Carl Theodor Dreyer
1955,1956,13,Cecil B. deMille Award,FALSE,Jack L. Warner
1955,1956,13,Promoting International Understanding,TRUE,Love Is A Many-Splendored Thing
1955,1956,13,Television Achievement,TRUE,The American Comedy
1955,1956,13,Television Achievement,TRUE,Walt Disney's Wonderful World of Color (Davy Crockett)
1955,1956,13,Special Achievement Award,FALSE,East of Eden
1955,1956,13,New Star Of The Year - Actress,TRUE,Blood Alley
1955,1956,13,New Star Of The Year - Actress,TRUE,The Eddy Duchin Story
1955,1956,13,New Star Of The Year - Actress,TRUE,The View From Pompey's Head
1955,1956,13,New Star Of The Year - Actor,TRUE,I'll Cry Tomorrow
1955,1956,13,New Star Of The Year - Actor,TRUE,Hit The Deck
1955,1956,13,Actress In A Leading Role - Musical Or Comedy,TRUE,Guys and Dolls
1955,1956,13,Henrietta Award (World Film Favorites),TRUE,Marlon Brando
1955,1956,13,Henrietta Award (World Film Favorites),TRUE,Grace Kelly
1955,1956,13,Hollywood Citizenship Award,TRUE,Esther Williams
1956,1957,14,Best Motion Picture - Drama,TRUE,Around the World in 80 Days
1956,1957,14,Best Motion Picture - Drama,FALSE,Lust For Life
1956,1957,14,Best Motion Picture - Drama,FALSE,The Rainmaker
1956,1957,14,Best Motion Picture - Drama,FALSE,War and Peace
1956,1957,14,Best Motion Picture - Drama,FALSE,Giant
1956,1957,14,Best Motion Picture - Musical or Comedy,TRUE,The King and I
1956,1957,14,Best Motion Picture - Musical or Comedy,FALSE,Bus Stop
1956,1957,14,Best Motion Picture - Musical or Comedy,FALSE,The Opposite Sex
1956,1957,14,Best Motion Picture - Musical or Comedy,FALSE,The Solid Gold Cadillac
1956,1957,14,Best Motion Picture - Musical or Comedy,FALSE,The Teahouse of the August Moon
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,FALSE,Baby Doll
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,FALSE,Anastasia 
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,FALSE,Anastasia 
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,FALSE,War and Peace
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,FALSE,The Rainmaker
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,TRUE,Lust For Life
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,FALSE,Friendly Persuasion
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,FALSE,The Ten Commandments
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,FALSE,The Rainmaker
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,FALSE,Baby Doll
1956,1957,14,Best Performance by an Actor in a Motion Picture - Musical or Comedy,TRUE,Around the World in 80 Days
